ptp,counterbalancing,condition,hidden_pa_img_row_number_across_blocks,mouse_error_mean,mouse_error_sd,mouse_error_n,border_dist_closest,hidden_pa_img_type
sub_008,cb2,schema_2_2,7,88.33300278292432,77.1338211632595,6,all,all_pa
sub_008,cb2,schema_2_2,8,114.46196726865129,96.33372284829274,6,all,all_pa
sub_008,cb2,schema_4_2,1,129.81842868155874,110.36264229169531,6,all,all_pa
sub_008,cb2,schema_4_2,2,94.47242500112488,76.63504564695998,6,all,all_pa
sub_008,cb2,schema_4_2,3,88.65175027431552,52.91038042751078,6,all,all_pa
sub_008,cb2,schema_4_2,4,72.63853773565936,67.71564000859527,6,all,all_pa
sub_008,cb2,schema_4_2,5,106.13871526722119,99.51277804750472,6,all,all_pa
sub_008,cb2,schema_4_2,6,73.69496961888504,36.36762973400071,6,all,all_pa
sub_008,cb2,schema_4_2,7,52.79245565909696,33.84579109139237,6,all,all_pa
sub_008,cb2,schema_4_2,8,55.092822476239085,29.87900337938607,6,all,all_pa
sub_008,cb2,schema_4_4,1,206.9938461593641,72.29058710746531,6,all,all_pa
sub_008,cb2,schema_4_4,2,115.61209184156341,24.634018465920228,6,all,all_pa
sub_008,cb2,schema_4_4,3,63.63851735426556,29.65116958062231,6,all,all_pa
sub_008,cb2,schema_4_4,4,91.35425487305423,62.453623326950925,6,all,all_pa
sub_008,cb2,schema_4_4,5,92.43249275221584,77.86627040697205,6,all,all_pa
sub_008,cb2,schema_4_4,6,93.11417072359727,79.68005242409137,6,all,all_pa
sub_008,cb2,schema_4_4,7,189.24794933252275,136.41623351118304,6,all,all_pa
sub_008,cb2,schema_4_4,8,84.33578664109234,93.59280841342243,6,all,all_pa
sub_008,cb2,schema_6_0,1,200.54219375919442,72.56917472490896,6,all,all_pa
sub_008,cb2,schema_6_0,2,123.57034079785254,55.65351802606717,6,all,all_pa
sub_008,cb2,schema_6_0,3,61.56225185252816,57.68728516553504,6,all,all_pa
sub_008,cb2,schema_6_0,4,43.530778494997854,40.551875504075106,6,all,all_pa
sub_008,cb2,schema_6_0,5,35.820451925158984,59.323421067968894,6,all,all_pa
sub_008,cb2,schema_6_0,6,30.599856058769646,17.415441124869098,6,all,all_pa
sub_008,cb2,schema_6_0,7,93.72813743926827,110.05535548601647,6,all,all_pa
sub_008,cb2,schema_6_0,8,43.96615353445374,25.533763541955512,6,all,all_pa
sub_009,cb1,schema_2_2,1,167.1318741700553,101.0359513196311,6,all,all_pa
sub_009,cb1,schema_2_2,2,140.39513950034706,67.4307651972773,6,all,all_pa
sub_009,cb1,schema_2_2,3,147.16233723568217,122.95923815731989,6,all,all_pa
sub_009,cb1,schema_2_2,4,146.90997799093915,106.05828666334527,6,all,all_pa
sub_009,cb1,schema_2_2,5,184.61693404563218,117.3604625707045,6,all,all_pa
sub_009,cb1,schema_2_2,6,142.86703323026626,139.00952290544012,6,all,all_pa
sub_009,cb1,schema_2_2,7,91.77627207254947,105.54289489784756,6,all,all_pa
sub_009,cb1,schema_2_2,8,115.4144066755785,135.02406337461986,6,all,all_pa
sub_009,cb1,schema_4_2,1,162.7468132236006,86.59913104246485,6,all,all_pa
sub_009,cb1,schema_4_2,2,117.2970639466765,82.94377320603809,6,all,all_pa
sub_009,cb1,schema_4_2,3,76.16061139227526,82.65407448635328,6,all,all_pa
sub_009,cb1,schema_4_2,4,43.90739643112081,33.36970964272125,6,all,all_pa
sub_009,cb1,schema_4_2,5,68.18761106400112,79.55931798631231,6,all,all_pa
sub_009,cb1,schema_4_2,6,44.12877221752987,50.16545566184411,6,all,all_pa
sub_009,cb1,schema_4_2,7,30.709068778512602,20.994493466220533,6,all,all_pa
sub_009,cb1,schema_4_2,8,37.16011922853135,49.141828097511606,6,all,all_pa
sub_009,cb1,schema_4_4,1,148.12024414515514,64.3797642864551,6,all,all_pa
sub_009,cb1,schema_4_4,2,67.4725062544651,65.31076035498175,6,all,all_pa
sub_009,cb1,schema_4_4,3,70.67449167706161,46.299659311999285,6,all,all_pa
sub_009,cb1,schema_4_4,4,50.274919034874344,36.016932973199545,6,all,all_pa
sub_009,cb1,schema_4_4,5,54.91794673093142,33.563664748898425,6,all,all_pa
sub_009,cb1,schema_4_4,6,21.54636852002231,7.869483007247668,6,all,all_pa
sub_009,cb1,schema_4_4,7,34.20782718325967,16.107372545980308,6,all,all_pa
sub_009,cb1,schema_4_4,8,23.78679966747131,10.14803785800106,6,all,all_pa
sub_009,cb1,schema_6_0,1,161.36076341937635,106.07980575838434,6,all,all_pa
sub_009,cb1,schema_6_0,2,108.17166863346122,106.5618094664746,6,all,all_pa
sub_009,cb1,schema_6_0,3,77.16561037281484,54.66476898726456,6,all,all_pa
sub_009,cb1,schema_6_0,4,80.57825356911856,63.99643935757004,6,all,all_pa
sub_009,cb1,schema_6_0,5,60.55666066560046,56.700724410015184,6,all,all_pa
sub_009,cb1,schema_6_0,6,58.9051652175249,54.62080629715723,6,all,all_pa
sub_009,cb1,schema_6_0,7,48.68756595298182,49.31943103565624,6,all,all_pa
sub_009,cb1,schema_6_0,8,37.73947515054833,24.885590671016526,6,all,all_pa
sub_010,cb1,schema_2_2,1,153.8622991732419,52.37632626295253,6,all,all_pa
sub_010,cb1,schema_2_2,2,159.06147277800412,135.52136098890605,6,all,all_pa
sub_010,cb1,schema_2_2,3,53.45967241688225,49.65339053025739,6,all,all_pa
sub_010,cb1,schema_2_2,4,21.0426420375849,13.825153357137319,6,all,all_pa
sub_010,cb1,schema_2_2,5,26.948039342828103,23.933567259135312,6,all,all_pa
sub_010,cb1,schema_2_2,6,18.772512568721435,15.003563152908795,6,all,all_pa
sub_010,cb1,schema_2_2,7,18.347611602547413,15.153671477010729,6,all,all_pa
sub_010,cb1,schema_2_2,8,17.619045848743745,6.869353980581171,6,all,all_pa
sub_010,cb1,schema_4_2,1,158.93754319987193,96.94542878861373,6,all,all_pa
sub_010,cb1,schema_4_2,2,107.37182095688155,82.18093791376204,6,all,all_pa
sub_010,cb1,schema_4_2,3,87.11292313930714,102.55154155668144,6,all,all_pa
sub_010,cb1,schema_4_2,4,26.816891299099815,26.77037846882782,6,all,all_pa
sub_010,cb1,schema_4_2,5,48.742931621324246,61.123046140161016,6,all,all_pa
sub_010,cb1,schema_4_2,6,19.709122254183278,10.158484338972592,6,all,all_pa
sub_010,cb1,schema_4_2,7,105.33320881296241,139.913191299103,6,all,all_pa
sub_010,cb1,schema_4_2,8,44.20843177913442,60.16934269756571,6,all,all_pa
sub_010,cb1,schema_4_4,1,155.6080672536203,83.44617925711026,6,all,all_pa
sub_010,cb1,schema_4_4,2,102.36307805623308,88.32515127030737,6,all,all_pa
sub_010,cb1,schema_4_4,3,73.45334198864462,85.15370239594694,6,all,all_pa
sub_010,cb1,schema_4_4,4,29.519816638789475,24.319419845735116,6,all,all_pa
sub_010,cb1,schema_4_4,5,29.548494913076684,12.92870484405515,6,all,all_pa
sub_010,cb1,schema_4_4,6,22.526506738262402,15.533406384423852,6,all,all_pa
sub_010,cb1,schema_4_4,7,20.185754708308107,11.23451886489395,6,all,all_pa
sub_010,cb1,schema_4_4,8,23.665964508162848,10.12008372378852,6,all,all_pa
sub_010,cb1,schema_6_0,1,201.8943076428832,62.43784843084511,6,all,all_pa
sub_010,cb1,schema_6_0,2,102.18178826512413,109.42132650862511,6,all,all_pa
